"trial","xdat","lat","fstCorrect","ErrCorr","AS","Count","Desc","id","respuesta","estimulo"
16,132,385,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
17,133,149,FALSE,TRUE,"AS",2,"",2771,"incorrect","neutral"
18,133,358,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
19,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(11.237500) is off from baseline(130.500000)!",2771,"drop","food"
20,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(50.187500) is off from baseline(130.500000)!",2771,"drop","neutral"
21,133,199,TRUE,FALSE,"AS",1,"",2771,"correct","food"
22,133,486,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
23,133,NA,FALSE,FALSE,"AS",-1,"no saccades (getSacs)",2771,"drop","neutral"
24,132,182,FALSE,TRUE,"AS",2,"",2771,"incorrect","neutral"
25,133,73,TRUE,FALSE,"AS",1,"",2771,"correct","food"
26,132,NA,FALSE,FALSE,"AS",-1,"no good saccades",2771,"drop","food"
27,132,498,TRUE,FALSE,"AS",1,"",2771,"correct","food"
28,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(215.675000) is off from baseline(130.500000)!",2771,"drop","food"
29,132,NA,FALSE,FALSE,"AS",-1,"no good saccades",2771,"drop","food"
30,132,NA,FALSE,FALSE,"AS",-1,"no good saccades",2771,"drop","neutral"
31,133,235,FALSE,TRUE,"AS",2,"",2771,"incorrect","food"
32,133,NA,FALSE,FALSE,"AS",-1,"no good saccades",2771,"drop","neutral"
33,133,572,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
34,132,412,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
35,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(245.537500) is off from baseline(130.500000)!",2771,"drop","neutral"
36,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(58.062500) is off from baseline(130.500000)!",2771,"drop","neutral"
37,132,353,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
38,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(194.637500) is off from baseline(130.500000)!",2771,"drop","food"
39,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(195.512500) is off from baseline(130.500000)!",2771,"drop","neutral"
40,133,535,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
41,132,132,FALSE,TRUE,"AS",2,"",2771,"incorrect","neutral"
42,132,373,TRUE,FALSE,"AS",1,"",2771,"correct","food"
43,132,102,FALSE,TRUE,"AS",2,"",2771,"incorrect","food"
44,133,317,TRUE,FALSE,"AS",1,"",2771,"correct","food"
45,133,358,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
46,132,NA,FALSE,FALSE,"AS",-1,"poor tracking: sd of xpos Δ=40.799452",2771,"drop","neutral"
47,133,NA,FALSE,FALSE,"AS",-1,"moving (12.172 px/60Hz) before target onset",2771,"drop","neutral"
48,132,388,TRUE,FALSE,"AS",1,"",2771,"correct","food"
49,132,346,TRUE,FALSE,"AS",1,"",2771,"correct","food"
50,132,339,TRUE,FALSE,"AS",1,"",2771,"correct","food"
51,133,388,FALSE,FALSE,"AS",0,"",2771,"incorrect","food"
52,133,602,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
53,132,393,TRUE,FALSE,"AS",1,"",2771,"correct","food"
54,133,425,FALSE,FALSE,"AS",0,"",2771,"incorrect","neutral"
55,132,226,TRUE,FALSE,"AS",1,"",2771,"correct","food"
56,132,498,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
57,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(207.612500) is off from baseline(130.500000)!",2771,"drop","food"
58,133,344,TRUE,FALSE,"AS",1,"",2771,"correct","food"
59,132,762,FALSE,FALSE,"AS",0,"",2771,"incorrect","neutral"
60,132,417,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
61,133,NA,FALSE,FALSE,"AS",-1,"no good saccades",2771,"drop","neutral"
62,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(63.937500) is off from baseline(130.500000)!",2771,"drop","neutral"
63,132,372,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
64,132,282,TRUE,FALSE,"AS",1,"",2771,"correct","food"
65,132,NA,FALSE,FALSE,"AS",-1,"no saccades (getSacs)",2771,"drop","food"
66,133,383,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
67,132,825,FALSE,FALSE,"AS",0,"",2771,"incorrect","neutral"
68,133,NA,FALSE,FALSE,"AS",-1,"no saccades (getSacs)",2771,"drop","food"
69,132,152,FALSE,TRUE,"AS",2,"",2771,"incorrect","food"
70,133,NA,FALSE,FALSE,"AS",-1,"no good saccades",2771,"drop","food"
71,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(58.837500) is off from baseline(130.500000)!",2771,"drop","neutral"
72,132,142,FALSE,TRUE,"AS",2,"",2771,"incorrect","neutral"
73,132,439,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
74,133,592,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
75,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(16.425000) is off from baseline(130.500000)!",2771,"drop","neutral"
76,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(222.300000) is off from baseline(130.500000)!",2771,"drop","neutral"
77,132,NA,FALSE,FALSE,"AS",-1,"no good saccades",2771,"drop","food"
78,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(221.475000) is off from baseline(130.500000)!",2771,"drop","food"
79,132,405,TRUE,FALSE,"AS",1,"",2771,"correct","food"
80,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(233.050000) is off from baseline(130.500000)!",2771,"drop","food"
81,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(35.787500) is off from baseline(130.500000)!",2771,"drop","neutral"
82,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(227.962500) is off from baseline(130.500000)!",2771,"drop","food"
83,132,144,TRUE,FALSE,"AS",1,"",2771,"correct","food"
84,132,204,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
85,133,314,TRUE,FALSE,"AS",1,"",2771,"correct","food"
86,132,639,FALSE,TRUE,"AS",2,"",2771,"incorrect","food"
87,133,830,TRUE,FALSE,"AS",1,"",2771,"correct","food"
88,133,393,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
89,132,162,FALSE,TRUE,"AS",2,"",2771,"incorrect","neutral"
90,132,734,TRUE,FALSE,"AS",1,"",2771,"correct","food"
91,132,142,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
92,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(212.337500) is off from baseline(130.500000)!",2771,"drop","neutral"
93,133,243,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
94,132,734,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
95,132,690,TRUE,FALSE,"AS",1,"",2771,"correct","food"
96,133,523,TRUE,FALSE,"AS",1,"",2771,"correct","neutral"
97,133,415,TRUE,FALSE,"AS",1,"",2771,"correct","food"
98,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(28.862500) is off from baseline(130.500000)!",2771,"drop","neutral"
99,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(224.000000) is off from baseline(130.500000)!",2771,"drop","food"
100,133,174,FALSE,TRUE,"AS",2,"",2771,"incorrect","food"
1,132,216,TRUE,FALSE,"AS",1,"",576,"correct","food"
2,133,NA,FALSE,FALSE,"AS",-1,"no saccades (getSacs)",576,"drop","neutral"
3,132,179,TRUE,FALSE,"AS",1,"",576,"correct","neutral"
4,133,233,TRUE,FALSE,"AS",1,"",576,"correct","food"
5,133,211,TRUE,FALSE,"AS",1,"",576,"correct","neutral"
6,132,216,TRUE,FALSE,"AS",1,"",576,"correct","food"
7,133,122,TRUE,FALSE,"AS",1,"",576,"correct","food"
8,133,248,TRUE,FALSE,"AS",1,"",576,"correct","food"
9,133,211,TRUE,FALSE,"AS",1,"",576,"correct","food"
10,133,NA,FALSE,FALSE,"AS",-1,"moving (16.058 px/60Hz) before target onset",576,"drop","food"
11,132,164,TRUE,FALSE,"AS",1,"",576,"correct","food"
12,132,223,FALSE,TRUE,"AS",2,"",576,"incorrect","food"
13,133,137,TRUE,FALSE,"AS",1,"",576,"correct","neutral"
14,133,211,TRUE,FALSE,"AS",1,"",576,"correct","food"
15,132,292,TRUE,FALSE,"AS",1,"",576,"correct","food"
16,132,149,FALSE,TRUE,"AS",2,"",576,"incorrect","neutral"
17,133,380,TRUE,FALSE,"AS",1,"",576,"correct","neutral"
18,133,NA,FALSE,FALSE,"AS",-1,"average fixpos(227.412500) is off from baseline(130.500000)!",576,"drop","neutral"
19,133,122,FALSE,TRUE,"AS",2,"",576,"incorrect","food"
20,133,191,TRUE,FALSE,"AS",1,"",576,"correct","neutral"
21,133,NA,FALSE,FALSE,"AS",-1,"moving (20.624 px/60Hz) before target onset",576,"drop","food"
22,133,238,TRUE,FALSE,"AS",1,"",576,"correct","neutral"
23,133,NA,FALSE,FALSE,"AS",-1,"moving (14.428 px/60Hz) before target onset",576,"drop","neutral"
24,132,189,FALSE,TRUE,"AS",2,"",576,"incorrect","neutral"
25,133,223,TRUE,FALSE,"AS",1,"",576,"correct","food"
26,132,238,TRUE,FALSE,"AS",1,"",576,"correct","food"
27,132,245,TRUE,FALSE,"AS",1,"",576,"correct","food"
28,132,164,TRUE,FALSE,"AS",1,"",576,"correct","food"
29,132,258,TRUE,FALSE,"AS",1,"",576,"correct","food"
30,132,132,TRUE,FALSE,"AS",1,"",576,"correct","neutral"
31,133,233,FALSE,TRUE,"AS",2,"",576,"incorrect","food"
32,133,186,TRUE,FALSE,"AS",1,"",576,"correct","neutral"
33,133,76,TRUE,FALSE,"AS",1,"",576,"correct","neutral"
34,132,194,FALSE,TRUE,"AS",2,"",576,"incorrect","neutral"
35,133,NA,FALSE,FALSE,"AS",-1,"moving (33.848 px/60Hz) before target onset",576,"drop","neutral"
36,132,NA,FALSE,FALSE,"AS",-1,"moving (4.821 px/60Hz) before target onset",576,"drop","neutral"
37,132,NA,FALSE,FALSE,"AS",-1,"start pos too far from center fix",576,"drop","neutral"
38,132,NA,FALSE,FALSE,"AS",-1,"average fixpos(249.237500) is off from baseline(130.500000)!",576,"drop","food"
